episode,total_reward,collision,success,rolling_reward,rolling_collision
0,-200.0,0,0,,
1,-100.0,0,0,,
2,-200.0,0,0,,
3,-200.0,0,0,,
4,-100.0,0,0,,
5,-214.0,1,0,,
6,700.0,0,0,,
7,-232.0,1,0,,
8,-282.0,1,0,,
9,-200.0,0,0,,
10,-322.0,1,0,,
11,-100.0,0,0,,
12,-200.0,0,0,,
13,-202.0,1,0,,
14,-200.0,0,0,,
15,314.0,1,0,,
16,200.0,0,0,,
17,-208.0,1,0,,
18,-262.0,1,0,,
19,-70.0,1,0,-103.9,0.45
20,-100.0,0,0,-98.9,0.45
21,800.0,0,0,-53.9,0.45
22,900.0,0,0,1.1,0.45
23,400.0,0,0,31.1,0.45
24,600.0,0,0,66.1,0.45
25,900.0,0,0,121.8,0.4
26,-200.0,0,0,76.8,0.4
27,900.0,0,0,133.4,0.35
28,-348.0,1,0,130.1,0.35
29,200.0,0,0,150.1,0.35
30,600.0,0,0,196.2,0.3
31,1100.0,0,0,256.2,0.3
32,-200.0,0,0,256.2,0.3
33,1400.0,0,0,336.3,0.25
34,324.0,0,1,362.5,0.25
35,-222.0,1,0,335.7,0.25
36,1500.0,0,0,400.7,0.25
37,-62.0,1,0,408.0,0.25
38,124.0,1,0,427.3,0.25
39,600.0,0,0,460.8,0.2
40,642.0,0,1,497.9,0.2
41,84.0,1,0,462.1,0.25
42,300.0,0,0,432.1,0.25
43,1200.0,0,0,472.1,0.25
44,3800.0,0,0,632.1,0.25
45,-22.0,1,0,586.0,0.3
46,1500.0,0,0,671.0,0.3
47,1700.0,0,0,711.0,0.3
48,1800.0,0,0,818.4,0.25
49,1400.0,0,0,878.4,0.25
50,350.0,0,1,865.9,0.25
51,1900.0,0,0,905.9,0.25
52,4000.0,0,0,1115.9,0.25
53,4000.0,0,0,1245.9,0.25
54,3600.0,0,0,1409.7,0.25
55,700.0,0,0,1455.8,0.2
56,4500.0,0,0,1605.8,0.2
57,3500.0,0,0,1783.9,0.15
58,828.0,0,1,1819.1,0.1
59,2400.0,0,0,1909.1,0.1
60,-206.0,1,0,1866.7,0.15
61,190.0,0,1,1872.0,0.1
62,5300.0,0,0,2122.0,0.1
63,3300.0,0,0,2227.0,0.1
64,2500.0,0,0,2162.0,0.1
65,2100.0,0,0,2268.1,0.05
66,4800.0,0,0,2433.1,0.05
67,5200.0,0,0,2608.1,0.05
68,184.0,0,1,2527.3,0.05
69,750.0,0,1,2494.8,0.05
70,6200.0,0,0,2787.3,0.05
71,450.0,1,0,2714.8,0.1
72,1706.0,0,1,2600.1,0.1
73,4400.0,0,0,2620.1,0.1
74,1316.0,0,1,2505.9,0.1
75,3300.0,0,0,2635.9,0.1
76,5600.0,0,0,2690.9,0.1
77,1136.0,0,1,2572.7,0.1
78,1130.0,0,1,2587.8,0.1
79,666.0,0,1,2501.1,0.1
80,6100.0,0,0,2816.4,0.05
81,5700.0,0,0,3091.9,0.05
82,7000.0,0,0,3176.9,0.05
83,3300.0,0,0,3176.9,0.05
84,472.0,0,1,3075.5,0.05
85,2600.0,0,0,3100.5,0.05
86,194.0,0,1,2870.2,0.05
87,4100.0,0,0,2815.2,0.05
88,746.0,0,1,2843.3,0.05
89,4900.0,0,0,3050.8,0.05
90,384.0,0,1,2760.0,0.05
91,456.0,0,1,2760.3,0.0
92,7100.0,0,0,3030.0,0.0
93,1250.0,0,1,2872.5,0.0
94,7300.0,0,0,3171.7,0.0
95,-216.0,1,0,2995.9,0.05
96,4200.0,0,0,2925.9,0.05
97,174.0,0,1,2877.8,0.05
98,6400.0,0,0,3141.3,0.05
99,290.0,0,1,3122.5,0.05
100,184.0,0,1,2826.7,0.05
101,7200.0,0,0,2901.7,0.05
102,5700.0,0,0,2836.7,0.05
103,7500.0,0,0,3046.7,0.05
104,-202.0,1,0,3013.0,0.1
105,3400.0,0,0,3053.0,0.1
106,4500.0,0,0,3268.3,0.1
107,-202.0,1,0,3053.2,0.15
108,420.0,1,0,3036.9,0.2
109,8000.0,0,0,3191.9,0.2
110,186.0,0,1,3182.0,0.2
111,-206.0,1,0,3148.9,0.25
112,662.0,0,1,2827.0,0.25
113,830.0,1,0,2806.0,0.3
114,280.0,0,1,2455.0,0.3
115,946.0,0,1,2513.1,0.25
116,178.0,0,1,2312.0,0.25
117,7500.0,0,0,2678.3,0.25
118,574.0,0,1,2387.0,0.25
119,8100.0,0,0,2777.5,0.25
120,-210.0,1,0,2757.8,0.3
121,8300.0,0,0,2812.8,0.3
122,286.0,0,1,2542.1,0.3
123,194.0,0,1,2176.8,0.3
124,8200.0,0,0,2596.9,0.25
125,268.0,1,0,2440.3,0.3
126,578.0,0,1,2244.2,0.3
127,7900.0,0,0,2649.3,0.25
128,-212.0,1,0,2617.7,0.25
129,280.0,0,1,2231.7,0.25
130,4000.0,0,0,2422.4,0.25
131,-206.0,1,0,2422.4,0.25
132,278.0,0,1,2403.2,0.25
133,382.0,0,1,2380.8,0.2
134,4200.0,0,0,2576.8,0.2
135,766.0,0,1,2567.8,0.2
136,-208.0,1,0,2548.5,0.25
137,8800.0,0,0,2613.5,0.25
138,9300.0,0,0,3049.8,0.25
139,8800.0,0,0,3084.8,0.25
140,4300.0,0,0,3310.3,0.2
141,3800.0,0,0,3085.3,0.2
142,486.0,0,1,3095.3,0.2
143,958.0,0,1,3133.5,0.2
144,282.0,0,1,2737.6,0.2
145,4300.0,0,0,2939.2,0.15
146,8800.0,0,0,3350.3,0.15
147,8800.0,0,0,3395.3,0.15
148,4500.0,0,0,3630.9,0.1
149,292.0,0,1,3631.5,0.1
150,380.0,0,1,3450.5,0.1
151,8700.0,0,0,3895.8,0.05
152,388.0,0,1,3901.3,0.05
153,3550.0,0,1,4059.7,0.05
154,9000.0,0,0,4299.7,0.05
155,9500.0,0,0,4736.4,0.05
156,9200.0,0,0,5206.8,0.0
157,380.0,0,1,4785.8,0.0
158,9400.0,0,0,4790.8,0.0
159,3300.0,0,0,4515.8,0.0
160,574.0,0,1,4329.5,0.0
161,8600.0,0,0,4569.5,0.0
162,7400.0,0,0,4915.2,0.0
163,190.0,0,1,4876.8,0.0
164,9500.0,0,0,5337.7,0.0
165,482.0,0,1,5146.8,0.0
166,276.0,0,1,4720.6,0.0
167,2488.0,0,1,4405.0,0.0
168,676.0,0,1,4213.8,0.0
169,484.0,0,1,4223.4,0.0
170,558.0,1,0,4232.3,0.05
171,578.0,0,1,3826.2,0.05
172,176.0,0,1,3815.6,0.05
173,8900.0,0,0,4083.1,0.05
174,8100.0,0,0,4038.1,0.05
175,9500.0,0,0,4038.1,0.05
176,384.0,0,1,3597.3,0.05
177,9000.0,0,0,4028.3,0.05
178,-208.0,1,0,3547.9,0.1
179,4200.0,0,0,3592.9,0.1
180,388.0,0,1,3583.6,0.1
181,960.0,0,1,3201.6,0.1
182,292.0,0,1,2846.2,0.1
183,8900.0,0,0,3281.7,0.1
184,8800.0,0,0,3246.7,0.1
185,382.0,0,1,3241.7,0.1
186,4300.0,0,0,3442.9,0.1
187,376.0,0,1,3337.3,0.1
188,576.0,0,1,3332.3,0.1
189,8400.0,0,0,3728.1,0.1
190,8200.0,0,0,4110.2,0.05
191,1244.0,1,0,4143.5,0.1
192,374.0,0,1,4153.4,0.1
193,582.0,0,1,3737.5,0.1
194,4400.0,0,0,3552.5,0.1
195,286.0,0,1,3091.8,0.1
196,8800.0,0,0,3512.6,0.1
197,292.0,0,1,3077.2,0.1
198,-212.0,1,0,3077.0,0.1
199,9000.0,0,0,3317.0,0.1
